user,index_months,year,month,date,weekday,date_formatting,stream_url,length_minute,watchtime_hrs,avg_viewers,peak_viewers,new_followers,followers_hourly,views,views_hourly,Cattegory,co_stream,event
viichan,10,2021,10,25,1,10/25/2021,https://sullygnome.com/channel/viichan6/stream/44196902781,259,472157,1823,2408,159,35,10434,2318,Just Chatting,,0
viichan,10,2021,10,24,7,10/24/2021,https://sullygnome.com/channel/viichan6/stream/44185013325,508,774700,1525,3649,371,43,22706,2671,Minecraft,1,0
viichan,10,2021,10,23,6,10/23/2021,https://sullygnome.com/channel/viichan6/stream/44172212445,390,636090,1631,2188,133,20,12779,1966,Just Chatting,,0
viichan,10,2021,10,22,5,10/22/2021,https://sullygnome.com/channel/viichan6/stream/44159899197,421,506884,1204,1933,232,33,12179,1739,Just Chatting,,0
viichan,10,2021,10,20,3,10/20/2021,https://sullygnome.com/channel/viichan6/stream/44137668941,406,512778,1263,1952,239,35,11937,1768,Just Chatting,,0
viichan,10,2021,10,19,2,10/19/2021,https://sullygnome.com/channel/viichan6/stream/44128086381,226,873942,3867,5921,377,100,16687,4449,Just Chatting,,0
viichan,10,2021,10,18,1,10/18/2021,https://sullygnome.com/channel/viichan6/stream/44115456653,335,471680,1408,1841,209,36,11980,2083,Just Chatting,,0
viichan,10,2021,10,17,7,10/17/2021,https://sullygnome.com/channel/viichan6/stream/44104806989,332,350260,1055,1998,368,64,17652,3069,Just Chatting,1,0
viichan,10,2021,10,16,6,10/16/2021,https://sullygnome.com/channel/viichan6/stream/44090853085,467,679952,1456,2386,374,46,23301,2912,Just Chatting,,0
viichan,10,2021,10,13,3,10/13/2021,https://sullygnome.com/channel/viichan6/stream/44055762093,405,604665,1493,2068,212,32,13611,2094,Just Chatting,,0
viichan,10,2021,10,12,2,10/12/2021,https://sullygnome.com/channel/viichan6/stream/44044096429,201,312354,1554,2126,102,29,7392,2112,Just Chatting,,0
viichan,10,2021,10,10,7,10/10/2021,https://sullygnome.com/channel/viichan6/stream/44020231741,358,475782,1329,2614,256,42,15347,2557,Just Chatting,,0
viichan,10,2021,10,9,6,10/9/2021,https://sullygnome.com/channel/viichan6/stream/44006230317,378,557928,1476,2113,196,30,11781,1812,Just Chatting,,0
viichan,10,2021,10,8,5,10/8/2021,https://sullygnome.com/channel/viichan6/stream/43996525901,82,32554,397,897,105,70,7446,4964,VRChat,1,0
viichan,10,2021,10,8,5,10/8/2021,https://sullygnome.com/channel/viichan6/stream/43994180381,364,307944,846,1447,233,37,14276,2284,Just Chatting,1,0
viichan,10,2021,10,6,3,10/6/2021,https://sullygnome.com/channel/viichan6/stream/43969762861,369,491877,1333,1765,172,27,10967,1754,Just Chatting,,0
viichan,10,2021,10,5,2,10/5/2021,https://sullygnome.com/channel/viichan6/stream/43957937373,381,534924,1404,1889,217,33,11635,1790,Just Chatting,,0
viichan,10,2021,10,4,1,10/4/2021,https://sullygnome.com/channel/viichan6/stream/43946487533,289,468469,1621,2009,186,37,10318,2063,Just Chatting,,0
viichan,10,2021,10,3,7,10/3/2021,https://sullygnome.com/channel/viichan6/stream/43931093741,331,579581,1751,2341,228,41,11768,2139,Just Chatting,,0
viichan,10,2021,10,2,6,10/2/2021,https://sullygnome.com/channel/viichan6/stream/43918683725,388,479180,1235,2386,367,56,18324,2819,Just Chatting,1,0
viichan,10,2021,10,1,5,10/1/2021,https://sullygnome.com/channel/viichan6/stream/43904687485,321,528687,1647,2101,193,35,10041,1825,Just Chatting,,0
viichan,9,2021,9,30,4,9/30/2021,https://sullygnome.com/channel/viichan6/stream/43893716125,174,186876,1074,1600,123,41,6206,2068,Just Chatting,,0
viichan,9,2021,9,28,2,9/28/2021,https://sullygnome.com/channel/viichan6/stream/43868219981,321,478290,1490,2034,191,34,9598,1745,Just Chatting,,0
